"id","start_date","end_date"
"ID1","2021-06-07","2021-02-23"
"ID2","2021-05-03","2021-01-06"
"ID3","2021-05-06","2021-03-31"
"ID4","2021-05-04","2021-02-03"
"ID5","2021-06-05","2021-01-15"
"ID6","2021-06-23","2021-02-06"
"ID7","2021-07-16","2021-02-28"
"ID8","2021-04-26","2021-01-17"
"ID9","2021-06-26","2021-02-09"
"ID10","2021-07-10","2021-03-05"
"ID11","2021-06-22","2021-03-21"
"ID12","2021-04-22","2021-03-13"
"ID13","2021-05-13","2021-04-01"
"ID14","2021-06-17","2021-01-22"
"ID15","2021-06-12","2021-01-23"
